item_id,item_name,item_png,item_price,section,category
0,Scout Shirt,img/scoutshirt.jpg,17,scouts,uniform
1,Scout Belt,img/scoutbelt.jpg,13,scouts,uniform
2,Beavers Polo Shirt,img/beaverShirt.jpg,11.5,beavers,uniform
3,Beavers Sweatshirt,img/beaverSweatshirt.jpg,13,beavers,uniform
4,Cubs Polo Shirt,img/cubShirt.jpg,12.5,cub,uniform
5,Cubs Sweatshirt,img/cubSweatshirt.jpg,13.5,cub,uniform
6,Explorer S/S Shirt,img/explorerssShirt.jpg,21,explorer,uniform
7,Explorer L/S Shirt,img/explorerlsShirt.jpg,22,explorer,uniform
8,Explorer Polo Shirt,img/explorerShirt.jpg,16,explorer,uniform
9,Adult Polo Shirt,img/adultPoloShirt,16,network/leaders,uniform
10,Adult Mens S/S Shirt,img/adultShirt,21,network/leaders,uniform
11,Adult Mens L/S Shirt,img/adultLongShirt.jpg,22,network/leaders,uniform
12,Youth's Scout Activity Trousers,img/youthBottoms.jpg,16,all sections,uniform
13,Youth's Scout Unisex Activity Shorts,img/youthShorts.jpg,15.5,all sections,uniform
14,Beaver - Chief Scout's Bronze Award,,0.71,beavers,badges
15,Beaver - My Adventure Challenge,,0.71,beavers,badges
16,Beaver - My Outdoor Challenge,,0.71,beavers,badges
17,Beaver - My Personal Challenge,,0.71,beavers,badges
18,Beaver - My Skills Challenge,,0.71,beavers,badges
19,Beaver - My Teamwork Challenge,,0.71,beavers,badges
20,Beaver - My World Challenge,,0.71,beavers,badges
21,Beaver - Moving On Award ,,0.6,beavers,badges
22,Beaver - Animal Friend,,0.6,beavers,badges
23,Beaver - Camp Craft,,0.6,beavers,badges
24,Beaver - Collector,,0.6,beavers,badges
25,Beaver - Communicator,,0.6,beavers,badges
26,Beaver - Cook,,0.6,beavers,badges
27,Beaver - Creative,,0.6,beavers,badges
28,Beaver - Cyclist,,0.6,beavers,badges
29,Beaver - Disability Awareness,,0.6,beavers,badges
30,Beaver - Experiment,,0.6,beavers,badges
31,Beaver - Explore,,0.6,beavers,badges
32,Beaver - Faith,,0.6,beavers,badges
33,Beaver - Gardener,,0.6,beavers,badges
34,Beaver - Global Issues,,0.6,beavers,badges
35,Beaver - Health and Fitness,,0.6,beavers,badges
36,Beaver - Hobbies,,0.6,beavers,badges
37,Beaver - International,,0.6,beavers,badges
38,Beaver - Photographer,,0.6,beavers,badges
39,Beaver - Safety,,0.6,beavers,badges
40,Beaver - Space,,0.6,beavers,badges
41,Beaver - Sports,,0.6,beavers,badges
42,Cub - Chief Scout's Silver Award,,0.71,cub,badges
43,Cub - Our Adventure Challenge,,0.71,cub,badges
44,Cub - Our Outdoor Challenge,,0.71,cub,badges
45,Cub - Personal Challenge,,0.71,cub,badges
46,Cub - Our Skills Challenge,,0.71,cub,badges
47,Cub - Team Leader Challenge,,0.71,cub,badges
48,Cub - Teamwork Challenge,,0.71,cub,badges
49,Cub - Our World Challenge,,0.71,cub,badges
50,Cub - Moving On Award,,0.6,cub,badges
51,Cub - Animal Carer,,0.6,cub,badges
52,Cub - Artist,,0.6,cub,badges
53,Cub - Astronomer,,0.6,cub,badges
54,Cub - Athletics,,0.6,cub,badges
55,Cub - Athletic Plus,,0.6,cub,badges
56,Cub - Backwoods Cooking,,0.6,cub,badges
57,Cub - Book Reader,,0.6,cub,badges
58,Cub - Chef,,0.6,cub,badges
59,Cub - Collector,,0.6,cub,badges
60,Cub - Comminicator,,0.6,cub,badges
61,Cub - Cyclist,,0.6,cub,badges
62,Cub - Disability Awareness,,0.6,cub,badges
63,Cub - DIY,,0.6,cub,badges
64,Cub - Entertainer,,0.6,cub,badges
65,Cub - Environmental Conservation,,0.6,cub,badges
66,Cub - Equestrian,,0.6,cub,badges
67,Cub - Fire Safety,,0.6,cub,badges
68,Cub - Global Issues,,0.6,cub,badges
69,Cub - Hobbies,,0.6,cub,badges
70,Cub - Home Help,,0.6,cub,badges
71,Cub - Home Safety,,0.6,cub,badges
72,Cub - International,,0.6,cub,badges
73,Cub - Local Knowledge,,0.6,cub,badges
74,Cub - Martial Arts,,0.6,cub,badges
75,Cub - My Faith,,0.6,cub,badges
76,Cub - Naturalist,,0.6,cub,badges
